;;;;;;;Assault at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Assault"" means physical attack against the body of another person resulting in serious bodily injury, excluding indecent/sexual assault, threats and slapping/punching. 'Assault' leading to death should also be excluded. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Burundi;;;;;;437;496;304;499;455;431;549;;;;;;;5,0;5,4;3,2;5,1;4,5;4,1;5,1
;;Kenya;;;12.715;13.186;12.089;11.479;14.189;14.078;14.366;14.534;13.674;13.949;;;;36,0;36,3;32,5;30,0;36,1;34,9;34,7;34,2;31,3;31,1
;;Mauritius;105;144;122;106;140;148;274;238;230;;;;;8,7;11,8;10,0;8,6;11,4;12,0;22,0;19,1;18,4;;;
;;Mozambique;;1.350;1.272;800;724;728;526;;;;;;;;6,6;6,0;3,7;3,2;3,2;2,2;;;;;
;;Rwanda;;;;;;2.249;1.985;2.004;2.526;3.177;3.299;;;;;;;;23,1;19,8;19,5;23,9;29,4;29,8;
;;Uganda;19.491;25.744;35.092;43.782;28.839;21.186;17.118;22.979;19.023;18.030;16.702;14.509;;74,3;94,9;125,1;151,0;96,2;68,3;53,4;69,3;55,5;50,9;45,7;38,4
;;Zimbabwe;78.464;95.581;92.510;77.525;63.803;51.247;;;;;;;;614,2;742,8;712,5;590,5;479,8;379,7;;;;;;
;Middle Africa;Cameroon*;2.998;3.056;3.140;3.136;3.482;;1.486;1.856;5.118;5.807;2.292;2.888;;17,4;17,3;17,3;16,9;18,3;;7,4;9,0;24,2;26,8;10,3;12,7
;;Sao Tome and Principe;1;1;;0;4;1;5;0;4;;;;;0,7;0,7;;0,0;2,5;0,6;3,0;0,0;2,3;;;
;Northern Africa;Algeria*;23.050;20.234;32.920;36.681;36.915;40.398;42.298;41.381;45.548;52.287;54.472;53.853;;71,2;61,7;99,0;108,7;107,7;116,0;119,5;114,8;124,1;139,7;142,6;138,3
;;Egypt;;;;65;71;120;134;156;339;;;;;;;;0,1;0,1;0,2;0,2;0,2;0,4;;;
;;Morocco;48.662;46.067;32.623;36.161;31.432;30.934;31.106;;;29.439;67.763;;;163,2;153,1;107,4;117,8;101,4;98,7;98,1;;;89,3;202,6;
;Southern Africa;Botswana;;;;;;;15.133;17.457;16.098;;;16.847;;;;;;;;753,9;852,5;770,3;;;758,9
;;Lesotho;;;;;9.337;9.957;7.332;;;;;;;;;;;477,4;504,9;368,4;;;;;
;;Swaziland;14.725;14.587;;;;;;;;;;;;1.353,5;1.332,4;;;;;;;;;;
;Western Africa;Cabo Verde;;;;;;;;4.090;4.030;4.112;4.013;;;;;;;;;;834,0;813,9;821,0;791,1;
;;Cote d'Ivoire;;;;;9.821;10.124;;;;;;;;;;;;52,1;52,6;;;;;;
;;Guinea;;;286;;293;;;;;;;;;;;3,0;;2,9;;;;;;;
;;Nigeria;;;;;15.136;14.692;14.075;18.093;;15.388;16.487;;;;;;;10,3;9,7;9,1;11,3;;9,1;9,5;
;;Senegal;;;279;252;181;543;291;305;;;;;;;;2,5;2,2;1,5;4,4;2,3;2,4;;;;
;;Sierra Leone;;;;;18.620;19.871;;;;;;;;;;;;345,4;359,9;;;;;;
Americas;Caribbean;Bahamas;;;;;;;2.601;3.063;3.268;3.132;;;;;;;;;;733,1;848,9;891,2;841,1;;
;;Barbados;;1.610;1.731;1.704;1.549;1.594;1.610;1.511;1.312;1.468;1.250;1.465;;;589,5;631,7;619,5;560,9;574,8;578,2;540,5;467,6;521,3;442,5;517,0
;;Dominican Republic;;;;;;;;;;5.937;;5.027;;;;;;;;;;;58,5;;48,3
;;Grenada;;;1.894;1.903;1.312;1.285;1.175;1.152;1.236;1.313;1.394;1.428;;;;1.839,7;1.842,9;1.266,6;1.236,4;1.126,6;1.100,5;1.176,4;1.244,8;1.316,3;1.342,7
;;Jamaica*;;;;;;;;1.407;;5.684;4.937;;;;;;;;;;51,3;;205,7;178,0;
;;St. Kitts and Nevis;;;;;;;148;155;137;;;;;;;;;;;286,2;296,1;258,5;;;
;;St. Vincent and the Grenadines;;1.529;1.252;1.054;1.063;1.029;1.220;1.309;1.245;1.112;;;;;1.408,4;1.151,3;967,8;974,8;942,6;1.116,7;1.197,4;1.138,6;1.017,1;;
;;Trinidad and Tobago;;643;801;657;680;771;689;616;535;579;542;558;;;49,8;61,8;50,4;51,9;58,6;52,1;46,4;40,1;43,2;40,2;41,2
;;Puerto Rico;;;;;;3.115;3.440;2.714;2.894;2.733;2.395;2.475;;;;;;;83,6;92,5;73,2;78,2;74,0;64,9;67,1
;Central America;Belize;;;;142;;;519;;;;;;;;;;48,8;;;165,3;;;;;
;;Costa Rica;;;;5.931;6.429;6.750;7.437;7.953;7.361;6.477;8.221;;;;;;137,6;147,1;152,4;165,7;175,0;160,0;139,2;174,7;
;;El Salvador*;;;4.628;4.614;2.971;3.428;3.901;3.891;3.681;4.228;4.322;3.920;;;;77,8;77,3;49,6;57,1;64,8;64,4;60,8;69,6;71,0;64,2
;;Guatemala;;6.443;6.095;6.055;6.238;6.960;7.603;7.452;6.237;6.086;6.011;5.971;;;50,0;46,2;44,9;45,2;49,3;52,7;50,6;41,4;39,6;38,3;37,3
;;Honduras;;;;;;;;;3.645;2.027;1.732;;;;;;;;;;;47,8;26,2;22,1;
;;Mexico*;;246.338;239.166;245.507;261.295;250.932;244.623;230.687;212.141;211.921;211.714;;;;227,5;217,9;220,4;230,9;218,3;209,4;194,5;176,2;173,6;171,1;
;;Nicaragua;;;19.335;18.391;;;;18.345;;;;;;;;359,4;337,4;;;;319,7;;;;
;;Panama;;;;6.055;6.450;6.739;6.572;6.060;5.784;5.461;4.236;;;;;;179,2;187,6;192,6;184,6;167,4;157,1;145,9;111,3;
;Northern America;Bermuda;522;435;;;;;702;617;559;552;528;;;804,6;668,6;;;;;1.091,7;964,8;879,2;873,7;841,1;
;;Canada;48.135;49.376;53.451;56.709;58.269;58.419;57.002;55.436;53.957;53.339;49.260;48.030;;152,3;154,7;165,7;173,9;176,7;175,1;168,9;162,4;156,4;153,0;139,8;135,0
;;United States of America;859.030;847.381;862.220;874.096;866.358;843.683;812.514;781.844;752.423;762.009;726.777;741.291;;295,2;288,7;291,2;292,5;287,2;277,1;264,5;252,3;240,9;242,1;229,2;232,1
;South America;Argentina;;;142.099;134.291;137.181;145.240;;;;;;;;;;363,0;339,5;343,2;359,7;;;;;;
;;Bolivia (Plurinational State of);;;6.026;5.405;6.441;6.987;7.229;8.451;6.692;7.426;;;;;;66,0;58,2;68,2;72,8;74,1;85,2;66,4;72,5;;
;;Brazil;;;;652.778;649.027;649.996;651.879;715.702;717.185;732.913;661.494;;;;;;342,3;336,7;333,7;331,4;360,3;357,7;362,1;323,9;
;;Chile;;;;20.992;21.727;23.275;23.816;22.259;22.963;19.813;18.228;17.451;;;;;128,9;132,0;139,8;141,5;130,8;133,5;113,9;103,7;98,2
;;Colombia;;32.534;30.415;46.529;47.957;36.043;55.124;53.140;62.185;82.181;82.931;82.232;;;76,1;70,3;106,1;108,1;80,3;121,4;115,7;134,0;175,3;175,2;172,1
;;Ecuador;7.084;7.967;7.756;6.575;;;4.078;4.505;6.309;8.242;8.560;7.430;;53,3;59,0;56,5;47,1;;;27,8;30,2;41,6;53,5;54,7;46,7
;;Guyana*;;;;;;;;11.182;;9.867;6.501;;;;;;;;;;1.484,3;;1.301,0;854,2;
;;Paraguay;;;2.235;995;1.048;2.115;2.071;1.947;2.012;2.024;837;771;;;;38,6;16,9;17,6;35,0;33,8;31,4;32,0;31,7;12,9;11,8
;;Peru;;15.020;14.699;15.827;54.265;54.356;55.291;55.215;57.819;64.948;61.651;65.380;;;55,1;53,2;56,6;191,8;189,8;190,6;188,0;194,3;215,4;201,7;211,1
;;Uruguay;;;;615;656;768;849;519;514;469;426;406;;;;;18,5;19,6;22,9;25,2;15,4;15,2;13,8;12,5;11,9
Asia;Central Asia;Kazakhstan;;;;2.474;1.988;1.945;1.621;1.589;1.957;1.666;1.358;;;;;;15,9;12,6;12,2;10,1;9,7;11,8;9,9;7,9;
;;Kyrgyzstan;225;213;264;206;343;349;359;536;482;414;306;380;;4,5;4,2;5,2;4,0;6,6;6,6;6,7;9,8;8,7;7,3;5,3;6,5
;;Tajikistan;;;;5.762;5.730;7.396;9.489;5.490;3.735;;;;;;;;82,9;80,7;102,0;128,0;72,4;48,2;;;
;;Turkmenistan;;;90;83;;;;;;;;;;;;1,9;1,7;;;;;;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;7.754;7.811;8.091;8.690;8.660;8.410;8.136;7.602;7.362;7.332;6.623;;;113,2;114,2;118,2;126,8;125,9;121,7;117,1;108,7;104,5;103,2;92,4;
;;Japan;58.505;59.628;60.299;64.989;62.952;60.126;26.574;26.647;25.928;28.058;27.864;26.653;;46,2;47,0;47,5;51,1;49,5;47,2;20,9;20,9;20,4;22,1;21,9;21,0
;;Macao Special Administrative Region of China*;;;;;;1.998;1.879;1.836;1.728;1.754;1.700;1.783;;;;;;;393,9;360,4;343,4;316,1;314,5;299,3;308,5
;;Mongolia;2.440;2.846;2.991;3.584;4.614;5.319;5.770;5.821;5.838;6.546;7.564;8.132;;98,8;114,0;118,4;140,1;178,0;202,3;216,1;214,6;211,6;233,1;264,6;279,5
;;Republic of Korea*;;;;281.928;294.728;305.465;315.731;292.347;311.862;62.257;55.884;50.281;;;;;588,6;611,4;629,7;646,9;595,5;631,9;125,5;112,1;100,4
;South-Eastern Asia;Brunei Darussalam;470;537;530;451;;;;;;;;;;134,5;151,0;146,5;122,5;;;;;;;;
;;Indonesia;;;;;;33.330;35.641;31.960;35.800;30.901;35.153;36.980;;;;;;;14,2;14,9;13,2;14,6;12,5;14,0;14,5
;;Malaysia;;;4.246;5.716;;;;;;;;;;;;16,5;21,8;;;;;;;;
;;Singapore;593;549;607;636;403;441;406;429;406;452;476;513;;13,9;12,5;13,5;13,8;8,5;9,1;8,2;8,4;7,8;8,5;8,8;9,3
;;Thailand*;;;28.245;25.798;26.620;18.804;18.359;9.112;13.322;13.654;12.491;12.675;;;;42,9;39,0;40,1;28,3;27,6;13,7;19,9;20,3;18,5;18,7
;;Myanmar;;;;;;;2.886;2.681;2.228;2.312;2.508;;;;;;;;;5,6;5,2;4,3;4,4;4,7;
;Southern Asia;Bangladesh;;;570;570;;;;;;;;;;;;0,4;0,4;;;;;;;;
;;Bhutan;;;;;;34;37;67;37;45;13;;;;;;;;4,9;5,2;9,3;5,1;6,1;1,7;
;;India;;276.868;270.861;264.748;273.067;284.969;279.214;289.022;302.847;332.324;334.669;;;;24,6;23,7;22,8;23,1;23,8;23,0;23,5;24,3;26,3;26,2;
;;Maldives;;;;;1.157;1.495;1.795;1.478;1.249;1.264;1.289;;;;;;;366,7;465,7;549,4;444,4;368,9;366,6;367,1;
;;Nepal;;;1.047;1.047;;;;;;;;;;;;4,1;4,1;;;;;;;;
;;Sri Lanka;22.178;21.172;;;;50.466;59.267;64.616;66.474;66.137;64.936;;;115,4;109,3;;;;253,0;295,2;319,9;327,2;323,9;316,4;
;Western Asia;Armenia;;190;180;178;164;201;166;155;161;157;176;;;;6,3;6,0;5,9;5,5;6,8;5,6;5,2;5,4;5,3;5,9;
;;Azerbaijan;155;171;165;160;;;184;172;153;132;132;160;;1,9;2,0;1,9;1,8;;;2,0;1,9;1,7;1,4;1,4;1,7
;;Bahrain;2.701;3.837;3.528;3.455;2.634;3.654;;;;;;;;354,7;474,9;406,9;367,2;256,6;327,5;;;;;;
;;Cyprus;135;172;132;134;142;167;219;173;164;148;132;134;;13,5;16,9;12,8;12,8;13,4;15,5;20,1;15,7;14,7;13,1;11,6;11,6
;;Georgia;;371;368;271;157;200;134;126;;;;228;;;8,2;8,2;6,1;3,6;4,6;3,1;3,0;;;;5,7
;;Israel;;50.171;51.114;50.866;45.025;45.432;;46.007;43.069;;;;;;775,4;774,0;753,0;650,6;640,4;;620,0;569,4;;;
;;Jordan;;;14.677;15.694;;;;;;;;;;;;275,2;283,8;;;;;;;;
;;Kuwait;;641;595;632;732;644;686;;;;;;;;29,6;26,3;26,4;28,8;23,8;23,8;;;;;
;;Lebanon;;;;;;7.950;9.100;9.496;8.956;8.658;8.222;8.514;;;;;;;193,5;217,6;218,9;195,0;175,8;155,5;151,7
;;Oman;;;;;1.790;2.083;;;;;;;;;;;;69,0;78,5;;;;;;
;;Qatar;291;298;;;;;;;;;;;;43,6;40,7;;;;;;;;;;
;;State of Palestine*;5.283;5.812;6.572;;;;263;286;340;347;;;;153,4;165,7;183,6;;;;6,6;7,0;8,1;8,1;;
;;Syrian Arab Republic;5.390;6.365;6.157;5.543;653;559;;;;;;;;31,1;36,0;34,0;29,6;3,4;2,8;;;;;;
;;Turkey;91.997;97.145;105.721;138.937;121.913;166.430;194.059;220.882;238.395;262.330;;;;139,3;145,0;155,8;202,2;175,4;236,6;272,3;305,5;324,3;350,5;;
;;United Arab Emirates;;;717;758;;;;;;378;311;316;;;;16,0;14,7;;;;;;4,2;3,4;3,5
;;Yemen;;;;;;;25;;;;;;;;;;;;;0,1;;;;;
;;Iraq (Central Iraq);;;;;;13.321;17.084;25.847;28.344;32.954;27.935;25.008;;;;;;;;;;;;;
Europe;Eastern Europe;Belarus;4.032;1.970;1.915;1.726;1.657;1.442;1.318;1.158;1.003;907;852;830;;41,3;20,3;19,9;18,0;17,3;15,1;13,9;12,2;10,6;9,6;9,0;8,7
;;Bulgaria;3.806;3.711;3.656;2.976;3.173;3.216;3.122;3.038;2.462;2.410;2.470;2.533;;48,8;47,9;47,6;39,0;41,9;42,8;41,8;41,0;33,5;33,0;34,1;35,2
;;Czech Republic;;23.579;21.684;19.171;19.551;17.875;16.887;18.073;19.409;18.358;18.689;16.949;;;230,9;211,9;186,6;189,3;171,9;161,4;172,0;184,3;174,1;177,2;160,8
;;Hungary;11.442;12.514;12.339;11.516;11.148;12.757;12.787;14.569;14.212;13.973;13.377;13.475;;112,8;123,7;122,2;114,3;110,8;126,9;127,4;145,5;142,3;140,3;134,8;136,3
;;Poland;;;;;;;12.559;11.011;10.703;9.721;8.571;7.128;;;;;;;;32,6;28,5;27,7;25,2;22,2;18,5
;;Republic of Moldova*;;;395;409;408;385;369;416;360;325;324;320;;;;9,5;9,9;9,9;9,4;9,0;10,2;8,8;8,0;8,0;7,9
;;Romania*;9.641;9.201;8.898;9.459;9.586;9.457;9.072;12.301;12.299;17.219;17.572;2.279;;44,4;42,6;41,6;44,6;45,7;45,6;44,2;60,6;61,2;86,3;88,8;11,6
;;Russian Federation;;57.453;57.863;51.429;47.348;45.436;43.112;39.745;38.512;37.091;34.786;32.899;;;39,9;40,3;35,9;33,1;31,7;30,1;27,8;26,9;25,9;24,3;22,9
;;Slovakia;4.076;3.810;3.896;3.200;2.967;2.702;2.618;2.426;2.227;2.183;2.017;1.957;;75,7;70,8;72,3;59,4;55,0;50,1;48,5;44,9;41,2;40,3;37,2;36,1
;;Ukraine;5.703;5.538;6.707;6.464;5.716;4.984;5.103;4.029;;;;;;12,0;11,8;14,3;13,9;12,4;10,8;11,1;8,8;;;;
;Northern Europe;Denmark;10.894;11.005;11.117;11.628;11.552;11.203;10.573;10.598;10.373;9.557;9.260;9.295;;202,4;203,8;205,2;213,7;211,3;203,9;191,4;190,9;186,0;170,6;164,6;164,6
;;Estonia;;;132;141;145;140;106;103;104;99;99;77;;;;9,7;10,4;10,8;10,4;7,9;7,7;7,8;7,5;7,5;5,9
;;Finland*;28.835;29.782;30.467;30.864;34.614;34.778;32.878;33.063;40.154;38.213;35.503;32.919;;553,1;569,6;580,7;586,0;654,4;654,4;615,6;616,0;744,2;704,4;651,1;600,7
;;Iceland;;;;56;50;77;79;57;60;74;92;;;;;;18,6;16,4;24,8;25,1;17,9;18,7;22,9;28,3;
;;Ireland;11.792;12.255;12.479;13.737;15.147;16.186;15.580;15.038;14.709;13.566;12.644;13.206;;291,8;297,5;296,9;319,9;345,1;361,3;341,8;325,7;316,1;290,6;270,7;282,5
;;Latvia*;883;872;1.100;1.549;1.256;1.346;1.215;1.226;1.161;1.325;458;569;;38,6;38,6;49,4;70,4;57,8;62,8;57,4;58,6;56,3;65,0;22,8;28,6
;;Lithuania;543;454;407;340;287;251;220;245;206;178;211;204;;15,9;13,4;12,2;10,3;8,8;7,8;6,9;7,8;6,7;5,9;7,1;7,0
;;Norway*;2.804;2.884;2.961;3.185;3.312;3.279;3.093;2.925;2.837;2.781;2.566;2.377;;61,5;62,8;64,0;68,2;70,2;68,7;64,0;59,8;57,3;55,4;50,5;46,2
;;Sweden;65.177;67.089;72.645;77.019;82.262;84.566;86.281;87.854;89.457;87.052;80.374;83.324;;728,8;746,9;804,5;847,6;898,7;916,6;927,4;936,4;945,4;912,2;835,1;858,7
;;United Kingdom (England and Wales);455.514;513.173;541.455;504.718;450.766;419.119;399.713;366.878;336.867;310.953;321.533;372.647;;861,7;965,5;1.010,6;935,5;828,8;764,2;723,7;658,8;599,7;549,7;564,6;649,1
;;United Kingdom (Northern Ireland);1.116;1.089;1.095;1.164;1.148;1.549;1.605;1.451;1.446;1.278;1.093;1.171;;65,5;63,5;63,4;66,8;65,2;87,1;89,5;80,4;79,7;70,1;59,7;63,6
;;United Kingdom (Scotland)*;62.330;80.486;78.601;84.692;79.523;79.892;5.621;5.493;4.693;3.643;3.268;3.166;;1.229,8;1.583,0;1.538,1;1.649,9;1.538,2;1.535,5;107,4;104,4;88,5;68,6;61,3;59,2
;Southern Europe;Albania;;;165;246;219;363;379;178;169;156;163;132;;;;5,4;8,1;7,3;12,2;12,9;6,1;5,9;5,4;5,7;4,6
;;Andorra;;;;;83;105;128;98;144;163;90;123;;;;;;97,8;122,6;149,8;116,1;174,9;205,5;118,6;169,0
;;Bosnia and Herzegovina*;;;1.369;1.498;1.566;1.474;;505;652;618;577;592;;;;35,7;39,0;40,8;38,4;;13,2;17,0;16,1;15,1;15,5
;;Croatia;1.249;1.153;1.153;1.069;1.093;1.128;1.059;986;873;903;823;766;;28,4;26,3;26,3;24,5;25,1;26,0;24,5;22,8;20,3;21,1;19,3;18,0
;;Greece;7.663;7.606;7.777;7.399;7.788;8.008;7.869;7.636;5.024;4.590;5.611;5.574;;69,5;68,8;70,3;66,7;70,0;71,7;70,4;68,3;45,0;41,3;50,8;50,7
;;Italy;;51.823;56.629;59.143;63.602;65.791;65.611;64.866;68.500;69.527;66.317;66.178;;;88,8;96,5;100,4;107,5;110,9;110,3;108,9;114,8;116,4;111,0;110,7
;;Kosovo under UNSCR 1244;;;;;;3.376;3.539;3.760;3.743;3.805;653;911;;;;;;;187,0;195,0;205,9;203,8;205,9;35,1;48,7
;;Malta*;;;;;;196;173;180;181;174;218;160;;;;;;;48,2;42,2;43,7;43,7;41,9;52,3;38,3
;;Montenegro*;141;150;155;164;;196;186;193;161;168;173;129;;23,0;24,4;25,1;26,6;;31,6;30,0;31,0;25,8;26,9;27,7;20,6
;;Portugal;44.304;41.716;39.220;39.998;37.389;33.494;33.205;30.816;28.775;27.178;25.698;24.869;;425,9;399,5;374,2;380,3;354,4;316,7;313,5;291,1;272,5;258,5;245,7;239,1
;;Serbia;;;1.614;1.657;1.681;1.582;1.442;1.391;1.309;1.323;1.286;1.147;;;;17,6;18,1;18,4;17,4;15,9;15,4;14,5;14,7;14,4;12,9
;;Slovenia;2.400;2.379;2.304;2.431;2.482;2.135;2.177;2.182;1.974;2.032;1.849;1.657;;120,7;119,5;115,4;121,2;123,0;105,1;106,6;106,3;95,9;98,5;89,5;80,2
;;Spain*;;;172.824;180.706;70.536;72.803;80.910;25.077;18.290;17.353;16.701;16.776;;;;394,1;405,7;156,0;158,9;174,8;53,8;39,2;37,2;36,0;36,3
;;The former Yugoslav Rep. of Macedonia;;;;441;349;213;228;248;239;211;216;215;;;;;21,5;17,0;10,4;11,1;12,0;11,6;10,2;10,4;10,4
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;3.584;3.611;3.577;3.878;3.945;4.023;3.606;3.897;4.030;3.734;3.640;;;43,7;43,9;43,3;46,7;47,4;48,1;43,0;46,3;47,7;44,0;42,7
;;Belgium;61.959;64.811;67.418;70.886;74.289;76.314;77.665;77.741;78.767;72.251;69.632;69.162;;594,3;617,7;638,3;666,7;694,0;708,0;715,5;711,3;715,7;652,1;624,3;616,1
;;France*;135.003;137.679;148.651;164.359;175.886;187.937;220.126;220.372;219.645;222.061;221.899;227.338;;223,3;226,2;242,7;266,8;283,8;301,6;351,4;350,0;347,2;349,4;347,6;354,5
;;Germany*;445.727;474.575;494.329;510.775;523.283;518.499;149.301;142.903;139.091;136.077;127.869;125.752;;546,4;582,9;608,4;630,2;647,2;642,8;185,4;177,7;172,9;169,1;158,7;155,9
;;Liechtenstein;61;70;71;77;68;88;90;77;78;69;103;120;;177,9;202,5;203,7;219,1;191,9;246,4;250,0;212,3;213,5;187,5;278,1;321,8
;;Luxembourg;;;;1.811;2.030;2.317;2.350;2.475;2.744;2.994;3.018;3.187;;;;;389,0;427,6;477,7;473,5;487,3;527,7;562,3;553,9;572,6
;;Monaco;94;129;155;140;;;;;;;;;;285,2;386,9;458,5;407,2;;;;;;;;
;;Netherlands*;53.500;55.300;67.060;69.185;71.570;69.005;65.690;60.280;59.425;57.325;52.855;50.335;;330,9;340,2;410,6;421,8;434,7;417,7;396,3;362,4;356,1;342,3;314,4;298,4
;;Switzerland*;6.732;8.198;8.099;9.272;9.644;8.893;524;487;487;597;568;609;;92,3;111,6;109,3;124,0;127,6;116,3;6,8;6,2;6,1;7,4;7,0;7,4
Oceania;Australia and New Zealand;Australia;;;;;;68.019;71.972;71.914;69.473;;;;;;;;;;318,3;330,6;324,5;308,2;;;
;;New Zealand;;;9.683;10.140;11.569;11.948;11.941;11.260;10.806;10.165;8.951;9.900;;;;234,2;242,1;273,0;278,8;275,8;257,7;245,3;229,2;200,5;220,2
;Melanesia;Solomon Islands;;1.207;1.213;1.168;1.184;1.097;;;;;;;;;263,6;258,5;243,0;240,6;217,9;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;