;;;;;;; Motor Vehicle Theft at the national level, number of police-recorded offences  ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Motor Vehicle Theft”means the removal of a motor vehicle without the consent of the owner of the vehicle. “Motor Vehicles” includes all land vehicles with an engine that run on the road, including cars, motorcycles, buses, lorries, construction and agricultural vehicles.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Kenya;;798;654;695;557;607;903;803;1.269;1.199;1.157;1.239;;;2,3;1,9;1,9;1,5;1,6;2,3;2,0;3,1;2,8;2,6;2,8
;;Mauritius;988;1.105;993;1.005;971;974;840;716;504;;;;;81,7;90,9;81,3;81,9;78,8;78,7;67,6;57,4;40,2;;;
;;Uganda;837;581;1.641;1.206;954;1.172;1.042;1.121;495;926;623;641;;3,2;2,1;5,9;4,2;3,2;3,8;3,2;3,4;1,4;2,6;1,7;1,7
;;Zimbabwe;1.051;1.096;650;533;391;444;;;;;;;;8,2;8,5;5,0;4,1;2,9;3,3;;;;;;
;Middle Africa;Cameroon*;;;;428;316;;;;639;812;883;1.114;;;;;2,3;1,7;;;;3,0;3,7;4,0;4,9
;;Sao Tome and Principe;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;;;
;Northern Africa;Algeria*;1.250;1.096;2.624;2.035;1.926;2.190;2.482;2.247;2.804;3.778;4.219;5.033;;3,9;3,3;7,9;6,0;5,6;6,3;7,0;6,2;7,6;10,1;11,0;12,9
;;Egypt;1.994;2.784;3.047;3.145;3.533;4.113;3.914;4.979;20.231;;;;;2,8;3,8;4,1;4,1;4,6;5,2;4,9;6,1;24,1;;;
;;Morocco;6.978;7.640;7.506;8.200;8.668;8.306;8.282;;;10.221;3.072;;;23,4;25,4;24,7;26,7;28,0;26,5;26,1;;;31,0;9,2;
;Southern Africa;Botswana;;;;;;;252;236;327;;;317;;;;;;;;12,6;11,5;15,6;;;14,3
;;Lesotho;;;;;597;431;437;;;;;;;;;;;30,5;21,9;22,0;;;;;
;;Swaziland;341;307;;;;;;;;;;;;31,3;28,0;;;;;;;;;;
;Western Africa;Cabo Verde;;;;;;;;;;71;92;;;;;;;;;;;;14,2;18,1;
;;Cote d'Ivoire;;;;;2.898;1.593;;;;;;;;;;;;15,4;8,3;;;;;;
;;Guinea;;;;;37;49;;;;;;;;;;;;0,4;0,5;;;;;;
;;Nigeria;;;;;2.137;3.433;1.265;1.826;;1.239;2.043;;;;;;;1,5;2,3;0,8;1,1;;0,7;1,2;
Americas;Caribbean;Bahamas;;;846;1.059;1.171;1.359;1.088;1.240;1.330;1.332;;;;;;257,0;315,4;342,1;389,9;306,7;343,7;362,7;357,7;;
;;Barbados;;107;121;115;97;77;92;110;91;68;59;92;;;39,2;44,2;41,8;35,1;27,8;33,0;39,3;32,4;24,1;20,9;32,5
;;Dominican Republic;;;2.585;2.957;;;;;;7.930;;5.987;;;;28,0;31,6;;;;;;78,1;;57,5
;;Grenada;;;0;0;0;0;0;0;0;0;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
;;Jamaica*;;;;;;;2.273;1.966;;236;576;;;;;;;;;83,3;71,7;;8,5;20,8;
;;St. Kitts and Nevis;;;;;;;;;3;;;;;;;;;;;;;5,7;;;
;;St. Vincent and the Grenadines;;36;24;30;21;36;29;59;43;44;;;;;33,2;22,1;27,5;19,3;33,0;26,5;54,0;39,3;40,2;;
;;Trinidad and Tobago;;1.428;1.329;1.496;1.795;1.750;1.706;1.371;901;1.063;1.047;742;;;110,7;102,5;114,8;137,1;133,0;129,1;103,2;67,5;79,2;77,7;54,8
;;Puerto Rico;;;;;;7.003;6.832;6.769;5.853;5.847;5.530;4.639;;;;;;;187,8;183,7;182,5;158,1;158,2;149,8;125,8
;Central America;Belize;;;67;62;;;150;138;92;;;;;;;23,7;21,3;;;47,8;42,9;27,9;;;
;;Costa Rica;5.304;4.763;5.114;5.600;5.304;6.492;6.873;4.980;5.078;4.335;4.219;4.225;;128,6;113,8;120,4;130,0;121,4;146,6;153,1;109,6;110,4;93,1;89,6;88,8
;;El Salvador*;;;1.857;1.257;1.421;1.179;1.215;999;1.095;838;1.082;1.371;;;;31,2;21,1;23,7;19,6;20,2;16,5;18,1;13,8;17,8;22,4
;;Guatemala*;;4.654;4.034;3.235;3.169;3.261;9.788;10.676;11.960;11.841;11.424;10.609;;;36,1;30,6;24,0;23,0;23,1;67,9;72,5;79,5;77,0;72,8;66,2
;;Honduras;;;;;1.505;1.667;2.381;2.838;3.200;2.123;1.389;;;;;;;21,1;23,0;32,2;37,8;42,0;27,4;17,7;
;;Mexico*;;144.457;143.525;146.808;163.131;193.856;202.480;229.965;230.415;208.491;189.805;;;;133,4;130,8;131,8;144,2;168,6;173,3;193,9;191,4;170,8;153,4;
;;Nicaragua;;;285;200;;;;388;;;;;;;;5,3;3,7;;;;6,8;;;;
;;Panama*;;771;757;205;198;331;497;280;324;274;220;;;;23,6;22,8;6,1;5,8;9,5;14,0;7,7;8,8;7,3;5,8;
;Northern America;Bermuda;1.112;858;;;;;746;720;659;620;716;;;1.714,1;1.318,8;;;;;1.160,1;1.125,8;1.036,5;981,3;1.140,6;
;;Canada;174.208;169.977;160.014;158.638;145.714;125.568;107.992;92.506;82.460;78.068;72.512;73.964;;551,4;532,5;496,1;486,4;441,8;376,4;320,0;271,1;239,0;223,9;205,8;207,8
;;United States of America;1.261.226;1.237.851;1.235.859;1.198.245;1.100.472;959.059;795.652;739.565;716.508;723.186;700.288;689.527;;433,4;421,7;417,3;400,9;364,8;315,0;259,0;238,7;229,4;229,7;220,8;215,8
;South America;Argentina;;;52.560;52.727;53.200;62.044;;;;;;;;;;134,3;133,3;133,1;153,6;;;;;;
;;Bolivia (Plurinational State of);;;;3.285;2.869;3.153;3.543;4.113;5.938;5.613;;;;;;;35,4;30,4;32,8;36,3;41,5;58,9;54,8;;
;;Brazil;;;;210.212;188.713;183.048;188.205;121.486;167.109;185.288;228.936;;;;;;110,2;97,9;94,0;95,7;61,2;83,3;91,5;112,1;
;;Chile;;;12.108;13.638;19.284;21.422;27.864;30.782;34.741;33.014;31.220;32.862;;;;75,2;83,8;117,1;128,7;165,6;180,9;202,0;189,9;177,6;185,0
;;Colombia;;;;19.813;18.311;19.640;21.557;21.449;30.722;31.875;32.133;31.680;;;;;45,2;41,3;43,7;47,5;46,7;66,2;68,0;67,9;66,3
;;Ecuador;5.601;6.167;6.433;7.096;;;10.856;10.884;10.952;12.204;13.744;12.843;;42,1;45,6;46,8;50,8;;;73,9;72,9;72,2;79,1;87,8;80,8
;;Guyana;;;;;;;;23;25;48;77;;;;;;;;;;3,1;3,3;6,3;10,1;
;;Paraguay;;;1.524;2.677;3.368;3.598;4.374;4.757;5.119;4.390;4.425;4.108;;;;26,3;45,5;56,5;59,5;71,4;76,6;81,3;68,8;68,4;62,7
;;Peru;8.722;10.633;12.560;10.428;11.226;12.840;13.787;15.179;15.305;16.357;18.813;17.988;;32,4;39,0;45,5;37,3;39,7;44,8;47,5;51,7;51,4;54,2;61,5;58,1
;;Suriname;71;40;;;;;;;;;;;;14,6;8,2;;;;;;;;;;
;;Uruguay;4.456;4.677;;;;;;;;17.284;16.341;17.193;;134,0;140,7;;;;;;;;508,8;479,5;502,8
Asia;Central Asia;Kazakhstan;;;;2.141;1.702;1.914;1.780;2.264;3.721;5.345;4.457;;;;;;13,7;10,8;12,0;11,1;13,9;22,5;31,8;26,1;
;;Kyrgyzstan;219;238;295;218;310;237;238;765;254;290;300;311;;4,3;4,7;5,8;4,2;5,9;4,5;4,4;14,0;4,6;5,1;5,2;5,3
;;Tajikistan;;41;53;38;43;48;54;46;48;;;;;;0,6;0,8;0,5;0,6;0,7;0,7;0,6;0,6;;;
;;Turkmenistan;10;8;4;2;;;;;;;;;;0,2;0,2;0,1;0,0;;;;;;;;
;Eastern Asia;Hong Kong Special Administrative Region of China;2.301;1.740;1.568;1.752;1.382;1.347;1.095;945;864;600;588;;;33,6;25,4;22,9;25,6;20,1;19,5;15,8;13,5;12,3;8,4;8,2;
;;Japan;;185.454;150.883;129.352;114.818;108.546;108.799;98.266;94.100;81.751;72.971;59.824;;;146,3;118,8;101,7;90,2;85,3;85,4;77,2;73,9;64,3;57,5;47,2
;;Macao Special Administrative Region of China*;;;;;;866;490;410;495;494;364;355;;;;;;;170,7;94,0;76,7;90,5;88,6;64,1;61,4
;;Mongolia;;61;73;93;151;73;96;146;178;172;135;249;;;2,4;2,9;3,6;5,8;2,8;3,6;5,4;6,5;6,1;4,7;8,6
;;Republic of Korea;;;;14.090;11.468;9.969;7.704;7.441;10.354;6.033;7.044;5.636;;;;;29,4;23,8;20,6;15,8;15,2;21,0;12,2;14,1;11,3
;South-Eastern Asia;Brunei Darussalam;148;142;163;169;;;;;;;;;;42,3;39,9;45,0;45,9;;;;;;;;
;;Indonesia;;;;;;34.804;37.506;35.668;39.217;41.816;42.508;42.165;;;;;;;14,8;15,7;14,8;16,0;16,9;16,9;16,6
;;Malaysia;;;66.927;82.287;;;;;;;;;;;;259,4;313,3;;;;;;;;
;;Philippines*;;;;2.096;1.714;1.673;1.879;2.142;1.642;;;;;;;;2,4;1,9;1,9;2,1;2,3;1,7;;;
;;Singapore;1.190;1.117;1.058;900;1.103;1.178;1.115;987;673;586;404;314;;28,0;25,5;23,5;19,5;23,3;24,3;22,5;19,4;13,0;11,1;7,5;5,7
;;Thailand;;;20.343;23.319;;;;18.607;14.545;14.612;12.380;11.279;;;;30,9;35,2;;;;27,9;21,7;21,8;18,4;16,7
;;Myanmar;;;;;;;7;1;10;25;1;;;;;;;;;0,0;0,0;0,0;0,0;0,0;
;Southern Asia;Bangladesh;;;1.061;1.061;;;;;;;;;;;;0,7;0,7;;;;;;;;
;;India;;80.682;85.709;90.951;100.255;120.032;140.027;147.475;151.200;154.351;165.690;;;;7,2;7,5;7,8;8,5;10,0;11,5;12,0;12,1;12,2;12,9;
;;Iran (Islamic Republic of);81.075;94.413;;;;;;;;;;;;118,3;136,2;;;;;;;;;;
;;Maldives;261;316;;;304;813;578;618;802;1.236;890;;;88,5;105,4;;;96,4;253,3;176,9;185,8;236,8;358,5;253,5;
;;Nepal;;;26;17;;;;;;;;;;;;0,1;0,1;;;;;;;;
;;Sri Lanka;752;822;;;;1.301;1.427;1.693;1.410;1.374;1.326;;;3,9;4,2;;;;6,5;7,1;8,4;6,9;6,7;6,5;
;Western Asia;Armenia;124;127;96;131;137;66;54;60;53;61;51;;;4,1;4,2;3,2;4,4;4,6;2,2;1,8;2,0;1,8;2,0;1,7;
;;Azerbaijan*;80;95;124;117;137;211;21;36;31;40;44;63;;1,0;1,1;1,4;1,4;1,6;2,4;0,2;0,4;0,3;0,4;0,5;0,7
;;Bahrain;;;3.030;2.151;1.185;1.094;;;;;;;;;;349,5;228,6;115,4;98,0;;;;;;
;;Cyprus;;;1.610;1.780;2.025;1.786;1.627;1.705;1.783;1.749;1.317;1.187;;;;155,9;169,8;190,5;165,8;149,2;154,5;159,7;154,9;115,4;102,9
;;Georgia;743;1.784;283;181;43;;;;;;;;;16,2;39,4;6,3;4,1;1,0;;;;;;;
;;Israel;;30.850;34.795;34.448;31.041;25.687;22.113;20.333;20.974;;;;;;476,8;526,9;510,0;448,5;362,1;304,5;274,0;277,3;;;
;;Jordan;;;3.006;2.438;2.819;3.037;2.618;2.589;4.348;4.908;;;;;;56,4;44,1;48,9;50,5;41,8;39,7;64,3;70,2;;
;;Kuwait;;6;7;4;10;6;45;;;;;;;;0,3;0,3;0,2;0,4;0,2;1,6;;;;;
;;Lebanon;;;;;;7.528;9.268;9.421;10.479;13.008;13.152;10.059;;;;;;;183,2;221,6;217,2;228,2;264,2;248,8;179,2
;;Oman;;;;;179;177;;;;;;;;;;;;6,9;6,7;;;;;;
;;Qatar;65;63;187;131;;;;;;;;;;9,7;8,6;22,3;13,3;;;;;;;;
;;State of Palestine;181;385;286;;;;;;;;;;;5,3;11,0;8,0;;;;;;;;;
;;Syrian Arab Republic;529;572;645;882;714;912;;;;;;;;3,1;3,2;3,6;4,7;3,7;4,5;;;;;;
;;Turkey;25.443;25.667;33.344;33.091;24.185;29.500;30.171;28.359;27.465;31.013;;;;38,5;38,3;49,1;48,2;34,8;41,9;42,3;39,2;37,4;41,4;;
;;United Arab Emirates;677;519;520;606;;;;;;1.093;927;801;;18,7;13,1;11,6;11,7;;;;;;12,2;10,3;8,8
;;Yemen;;;714;717;1.016;1.220;1.012;;;;;;;;;3,5;3,4;4,7;5,5;4,4;;;;;
Europe;Eastern Europe;Belarus;1.787;1.771;1.420;1.560;1.560;1.493;1.229;932;824;709;620;570;;18,3;18,3;14,7;16,3;16,3;15,7;12,9;9,8;8,7;7,5;6,5;6,0
;;Bulgaria;8.897;7.708;5.904;5.102;4.569;4.620;4.470;3.938;3.234;3.082;3.583;3.721;;114,0;99,6;76,8;66,9;60,4;61,5;59,9;53,2;44,0;42,2;49,4;51,7
;;Czech Republic;25.331;24.230;23.040;20.996;20.392;18.793;14.770;13.109;12.393;11.127;10.736;8.720;;248,1;237,3;225,2;204,4;197,4;180,7;141,2;124,8;117,6;105,5;101,8;82,7
;;Hungary;12.527;9.053;8.961;8.406;8.501;7.982;8.015;6.715;7.051;7.740;5.692;4.803;;123,5;89,5;88,8;83,4;84,5;79,4;79,9;67,1;70,6;77,7;57,4;48,6
;;Poland;54.291;51.150;45.292;30.529;21.284;17.669;17.271;16.539;16.575;16.230;15.596;13.505;;141,2;133,0;117,8;79,3;55,3;45,9;44,8;42,9;42,9;42,0;40,4;35,0
;;Republic of Moldova;184;191;105;83;105;67;65;118;97;116;195;178;;4,4;4,6;2,5;2,0;2,5;1,6;1,6;2,9;2,4;2,8;4,8;4,4
;;Romania*;1.127;1.120;1.082;1.266;1.817;2.355;2.967;2.531;1.881;1.627;2.892;5.428;;5,2;5,2;5,1;6,0;8,7;11,4;14,5;12,5;9,4;8,2;14,6;27,6
;;Russian Federation;;71.205;67.546;64.535;58.427;52.820;49.288;47.587;50.279;52.953;51.654;50.530;;;49,4;47,0;45,0;40,8;36,9;34,4;33,2;35,1;37,0;36,0;35,2
;;Slovakia;5.295;6.000;5.591;5.525;4.719;4.135;3.779;3.354;2.694;2.546;2.431;2.297;;98,3;111,4;103,8;102,5;87,5;76,6;70,0;62,0;49,8;47,0;44,9;42,4
;;Ukraine;7.013;5.857;6.197;5.541;5.436;4.641;5.184;4.278;;;;;;14,8;12,4;13,2;11,9;11,8;10,1;11,3;9,4;;;;
;Northern Europe;Denmark;23.713;20.789;16.341;15.312;16.755;18.826;18.680;16.356;13.686;10.351;9.496;8.511;;440,5;385,1;301,6;281,4;306,5;342,6;338,2;294,7;245,4;184,8;168,8;150,7
;;Estonia;460;628;;;1.007;1.035;934;870;752;620;547;597;;33,5;46,1;;;74,9;77,2;69,9;65,3;56,6;46,8;41,4;45,4
;;Finland;21.922;19.326;16.791;15.276;14.827;13.804;12.188;11.150;11.983;8.815;7.963;7.773;;420,5;369,6;320,0;290,1;280,3;259,8;228,2;207,7;222,1;162,5;146,0;141,9
;;Iceland;385;438;325;462;421;386;475;397;388;290;208;;;132,8;149,4;109,5;153,5;137,8;124,5;151,1;124,8;120,9;89,7;63,9;
;;Ireland;12.339;14.396;14.199;13.661;13.531;14.307;13.129;11.410;10.393;8.448;7.368;7.760;;305,3;349,4;337,8;318,1;308,3;319,3;288,0;247,1;223,4;181,0;157,7;166,0
;;Latvia*;3.699;3.266;2.223;2.336;1.941;2.205;2.096;1.441;;910;1.347;1.323;;161,7;144,7;99,8;106,2;89,4;102,8;99,0;68,9;;44,7;67,0;66,5
;;Lithuania;7.022;6.330;4.541;3.460;2.848;2.553;1.967;2.060;1.807;1.724;1.504;1.255;;206,2;187,5;135,8;104,7;87,2;79,3;62,0;66,0;58,8;57,2;50,7;43,0
;;Norway;20.130;17.867;15.350;14.619;12.571;11.901;12.014;10.858;9.318;7.953;6.634;6.586;;441,4;389,3;331,9;313,2;266,5;249,4;248,7;222,0;188,1;158,5;130,5;127,9
;;Sweden;67.199;60.980;56.719;51.639;49.249;44.717;40.359;35.009;34.471;28.926;27.724;27.995;;751,4;678,9;628,1;568,3;538,0;484,7;433,8;373,1;364,3;303,1;288,1;288,5
;;United Kingdom (England and Wales);291.858;242.732;214.182;193.384;170.038;147.238;117.684;106.162;92.056;79.820;75.308;75.809;;552,1;456,7;399,8;358,4;312,6;268,5;213,1;190,6;163,9;141,1;132,2;132,1
;;United Kingdom (Northern Ireland);6.150;4.532;4.124;3.520;3.285;3.076;2.936;2.823;2.412;2.101;2.121;2.025;;360,7;264,4;238,7;201,9;186,5;172,9;163,7;156,4;132,9;115,2;115,9;110,0
;;United Kingdom (Scotland);17.843;15.633;14.041;15.000;12.105;11.551;9.304;8.716;7.060;5.731;5.976;5.423;;352,0;307,5;274,8;292,2;234,1;222,0;177,8;165,6;133,2;107,9;112,2;101,4
;Southern Europe;Albania;;;708;531;437;398;504;627;611;677;572;401;;;;23,0;17,4;14,5;13,4;17,2;21,6;21,2;23,5;19,8;13,9
;;Andorra;;;;;;;;;;;;0;;;;;;;;;;;;;0,0
;;Bosnia and Herzegovina;;;2.321;2.439;2.088;1.725;1.738;1.628;1.091;1.328;1.376;1.361;;;;60,5;63,5;54,4;44,9;45,3;42,4;28,5;34,7;36,0;35,7
;;Croatia;2.338;2.462;2.274;2.033;2.069;1.927;1.828;1.568;1.560;1.361;1.077;861;;53,3;56,1;51,9;46,5;47,5;44,4;42,2;36,3;36,3;31,7;25,2;20,2
;;Greece;;17.478;17.552;20.216;22.516;23.550;26.711;27.587;32.242;31.166;28.801;24.986;;;158,2;158,6;182,2;202,3;211,0;238,9;246,8;289,1;280,5;260,5;227,1
;;Italy;221.543;187.300;265.975;280.167;277.549;229.961;213.407;197.583;198.774;196.589;183.486;176.461;;382,0;321,0;453,4;475,5;469,3;387,7;358,9;331,6;333,1;329,1;307,0;295,1
;;Kosovo under UNSCR 1244;;;;;;463;389;339;434;316;386;223;;;;;;;25,7;21,4;18,6;23,6;17,1;20,8;11,9
;;Malta;887;798;672;584;388;398;401;372;364;306;325;242;;225,8;202,1;169,2;146,0;96,3;97,9;97,9;90,3;87,9;73,6;78,0;57,9
;;Montenegro*;78;47;121;98;56;22;51;40;48;43;39;21;;12,7;7,6;19,6;15,9;9,1;3,5;8,2;6,4;7,7;6,9;6,2;3,4
;;Portugal;29.934;29.237;25.733;24.511;23.986;25.274;22.539;20.310;19.500;15.900;14.799;13.723;;287,7;280,0;245,5;233,1;227,3;238,9;212,8;191,9;184,7;151,2;141,5;131,9
;;Serbia;;;3.719;3.838;4.469;4.083;3.295;3.282;3.370;2.761;2.232;1.916;;;;40,5;41,9;48,9;44,8;36,3;36,2;37,3;30,7;25,0;21,5
;;Slovenia;682;704;873;852;839;582;586;534;528;539;621;594;;34,3;35,4;43,7;42,5;41,6;28,7;28,7;26,0;25,6;26,1;30,1;28,8
;;Spain;;;122.169;118.476;106.945;92.196;77.898;65.672;51.799;47.125;41.499;36.466;;;;278,6;266,0;236,6;201,2;168,3;140,9;110,9;101,0;89,3;78,8
;;The former Yugoslav Rep. of Macedonia;;;567;365;413;581;607;527;487;371;507;542;;;;27,8;17,8;20,1;28,3;29,5;25,6;23,6;17,9;24,5;26,1
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;8.156;11.089;8.959;7.802;9.049;9.289;5.150;5.158;4.446;5.141;4.190;;;99,5;134,7;108,3;94,0;108,6;111,1;61,4;61,2;52,6;60,6;49,2
;;Belgium;32.878;29.925;26.767;26.746;24.884;23.303;21.906;19.848;19.372;17.209;15.783;15.686;;315,3;285,2;253,4;251,6;232,5;216,2;201,8;181,6;176,0;155,3;141,5;139,7
;;France;;285.680;260.538;243.153;224.658;211.484;207.947;195.196;186.684;178.200;173.232;169.084;;;469,4;425,4;394,7;362,5;339,4;332,0;310,0;295,1;280,4;271,3;263,7
;;Germany;109.846;107.920;96.451;90.224;92.628;89.036;87.693;83.480;78.558;70.511;65.726;64.286;;134,7;132,6;118,7;111,3;114,6;110,4;108,9;103,8;97,7;87,6;81,6;79,7
;;Liechtenstein;22;19;13;8;7;16;7;3;1;6;5;5;;64,2;55,0;37,3;22,8;19,8;44,8;19,4;8,3;2,7;16,3;13,5;13,4
;;Luxembourg;;;;534;459;344;419;418;456;372;367;365;;;;;114,7;96,7;70,9;84,4;82,3;87,7;69,9;67,4;65,6
;;Monaco;;;149;104;;;;;;;;;;;;440,7;302,5;;;;;;;;
;;Netherlands;;;27.425;23.825;21.425;21.665;21.850;21.730;21.010;20.140;21.050;19.375;;;;167,9;145,3;130,1;131,1;131,8;130,7;125,9;120,2;125,2;114,9
;;Switzerland*;70.713;62.172;59.041;57.509;;;9.223;7.961;8.010;8.129;6.747;4.865;;970,0;846,4;796,9;768,8;;;119,2;101,7;101,1;101,3;83,1;59,2
Oceania;Australia and New Zealand;Australia*;98.298;87.939;80.365;75.377;70.614;68.265;59.649;54.819;56.074;58.559;52.508;50.186;;498,1;440,0;396,4;365,8;336,6;319,4;274,0;247,3;248,7;255,6;225,6;212,5
;;New Zealand*;;;23.952;24.960;22.722;21.271;21.629;19.991;20.724;17.807;19.221;;;;;579,3;596,0;536,1;496,4;499,6;457,6;470,5;401,4;430,5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;